month_year,count_month,Sentiment,Content,audio_uri,docindex,files_uri,gifs_uri,photos_uri,sender_name,share_link,sticker_uri,videothumb_uri,video_uri,timestamp_ms
March 2012,1,negative,i don't know where they are zoya!,,14436,,,,Sana Shepko,,,,,"March 1, 2012 9:03 PM"
March 2012,2,Neutral,did you check the shelf by the computer?,,14435,,,,Sana Shepko,,,,,"March 1, 2012 9:03 PM"
March 2012,3,Neutral,or the mantle? ,,14434,,,,Sana Shepko,,,,,"March 1, 2012 9:04 PM"
March 2012,4,anticipation,zoya where are u guys?! i need to get picked up!,,14432,,,,Sana Shepko,,,,,"March 3, 2012 4:42 PM"
July 2012,1,Neutral,at the apartment,,14428,,,,Sana Shepko,,,,,"July 25, 2012 8:14 AM"
July 2012,2,Neutral,we just got here,,14427,,,,Sana Shepko,,,,,"July 25, 2012 8:14 AM"
July 2012,3,Neutral,val's still there though,,14426,,,,Sana Shepko,,,,,"July 25, 2012 8:14 AM"
July 2012,4,anticipation,we're coming back soon just wanted to drop some stuff off,,14425,,,,Sana Shepko,,,,,"July 25, 2012 8:14 AM"
July 2012,5,anger,ZOYA,,14424,,,,Sana Shepko,,,,,"July 25, 2012 8:39 AM"
July 2012,6,anger,ARE YOU THERE,,14423,,,,Sana Shepko,,,,,"July 25, 2012 8:40 AM"
July 2012,7,anger,IN THE APARTMENT,,14421,,,,Sana Shepko,,,,,"July 25, 2012 9:30 AM"
July 2012,8,Neutral,and it's *where are you,,14420,,,,Sana Shepko,,,,,"July 25, 2012 9:30 AM"
July 2012,9,anger,ZOYA,,14419,,,,Sana Shepko,,,,,"July 25, 2012 9:45 AM"
July 2012,10,anger,ZOYA,,14418,,,,Sana Shepko,,,,,"July 25, 2012 9:45 AM"
July 2012,11,Neutral,we're still at the university,,14416,,,,Sana Shepko,,,,,"July 30, 2012 8:30 AM"
July 2012,12,Neutral,[name] wants me to give him the photos,,14415,,,,Sana Shepko,,,,,"July 30, 2012 8:31 AM"
July 2012,13,Neutral,i'm downloading them onto his flashdrive,,14414,,,,Sana Shepko,,,,,"July 30, 2012 8:31 AM"
July 2012,14,anger,HELLO,,14413,,,,Sana Shepko,,,,,"July 30, 2012 8:32 AM"
July 2012,15,Neutral,where are you?,,14411,,,,Sana Shepko,,,,,"July 30, 2012 8:32 AM"
August 2012,1,fear,"heyyy z we need to get the keys to our room, [name] doesnt have that key and our presentation is in there",,14408,,,,Sana Shepko,,,,,"August 8, 2012 2:22 AM"
August 2012,2,fear,can u come over here with the keys PLEASSSSEEEEEEE,,14407,,,,Sana Shepko,,,,,"August 8, 2012 2:22 AM"
August 2012,3,anger,WE NEED THEM,,14406,,,,Sana Shepko,,,,,"August 8, 2012 2:22 AM"
August 2012,4,anger,lZOYA WEE NEED RHE FUCKING KEY WHAT TO WE DO????[name],,14405,,,,Sana Shepko,,,,,"August 8, 2012 2:25 AM"
August 2012,5,Neutral," wait, that wasvt your mom",,14404,,,,Sana Shepko,,,,,"August 8, 2012 2:26 AM"
August 2012,6,Neutral,it was av expression,,14403,,,,Sana Shepko,,,,,"August 8, 2012 2:26 AM"
February 2013,1,anger,zoya i feel so frustrated,,14402,,,,Sana Shepko,,,,,"February 1, 2013 9:45 PM"
February 2013,2,negative,i feel like i shouldn't have invited [name] now because i'm getting all stressed out,,14401,,,,Sana Shepko,,,,,"February 1, 2013 9:45 PM"
February 2013,3,negative,ugh but honestly i feel SO STUCK,,14399,,,,Sana Shepko,,,,,"February 1, 2013 9:48 PM"
February 2013,4,fear,and then i started talking about it and i think i made it worse,,14397,,,,Sana Shepko,,,,,"February 1, 2013 9:48 PM"
February 2013,5,positive,"...but by the way, i got a waterbottle full of a bunch of different stuff",,14395,,,,Sana Shepko,,,,,"February 1, 2013 9:49 PM"
