month_year,count_month,Sentiment,Content,audio_uri,docindex,files_uri,gifs_uri,photos_uri,sender_name,share_link,sticker_uri,videothumb_uri,video_uri,timestamp_ms
November 2010,1,positive,Zoya sent an attachment.,,14441,,,,Zoya Shepko,https://www.facebook.com/zoya.shepko/videos/164560740245848/,,,,"November 28, 2010 1:36 PM"
February 2012,1,anger,SANA COME HERE NOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,14440,,,,Zoya Shepko,,,,,"February 17, 2012 10:04 PM"
February 2012,2,anger,SANA NOOOOOOWWWWWW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,14439,,,,Zoya Shepko,,,,,"February 17, 2012 10:06 PM"
February 2012,3,Neutral,:I ,,14438,,,,Zoya Shepko,,,,,"February 17, 2012 10:07 PM"
March 2012,1,fear,Sana please help me find those notes! I NEED them.  Last time l had them was last sun and then l put them in you case. I haven't had them since. Please HELP!!!!!!,,14437,,,,Zoya Shepko,,,,,"March 1, 2012 9:03 PM"
March 2012,2,fear,YES! I did everywhere could you please try and think were you could have put them. Maybe you took them to your lesson and forgot them there? Or you still have them in your room somewhere? Or you put them somewhere? I will probably have one of the last chairs if l don't have them.,,14433,,,,Zoya Shepko,,,,,"March 1, 2012 9:09 PM"
June 2012,1,anticipation,When are you coming home ,,14431,,,,Zoya Shepko,,,,,"June 30, 2012 7:53 PM"
June 2012,2,Neutral,Go on Skype,,14430,,,,Zoya Shepko,,,,,"June 30, 2012 8:52 PM"
July 2012,1,Neutral,Were are you ,,14429,,,,Zoya Shepko,,,,,"July 25, 2012 6:39 AM"
July 2012,2,Neutral,Were are you?,,14422,,,,Zoya Shepko,,,,,"July 25, 2012 9:22 AM"
July 2012,3,Neutral,where are you,,14417,,,,Zoya Shepko,,,,,"July 30, 2012 8:24 AM"
July 2012,4,Neutral,ok ,,14412,,,,Zoya Shepko,,,,,"July 30, 2012 8:32 AM"
July 2012,5,anticipation,so whats the plan ,,14410,,,,Zoya Shepko,,,,,"July 30, 2012 8:55 AM"
July 2012,6,anticipation,are we going anywhere?,,14409,,,,Zoya Shepko,,,,,"July 30, 2012 9:06 AM"
February 2013,1,Neutral,well she should have known that [name] would do something like that ,,14400,,,,Zoya Shepko,,,,,"February 1, 2013 9:48 PM"
February 2013,2,Neutral,and it's not your fault though ,,14398,,,,Zoya Shepko,,,,,"February 1, 2013 9:48 PM"
February 2013,3,negative,of course [name]s going to try and make things worse ,,14396,,,,Zoya Shepko,,,,,"February 1, 2013 9:49 PM"
February 2013,4,disgust,EWWWW you mixed it up,,14390,,,,Zoya Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,5,disgust,EWWW,,14388,,,,Zoya Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,6,Neutral,oh l hope its not dandelion ,,14381,,,,Zoya Shepko,,,,,"February 1, 2013 9:51 PM"
February 2013,7,Neutral,SHE IS,,14380,,,,Zoya Shepko,,,,,"February 1, 2013 9:51 PM"
February 2013,8,positive,ooooh that will be interesting. ,,14376,,,,Zoya Shepko,,,,,"February 1, 2013 9:52 PM"
February 2013,9,Neutral,some hot vodka,,14374,,,,Zoya Shepko,,,,,"February 1, 2013 9:53 PM"
February 2013,10,positive,haha don't worry [name] said that l'm almost 17 and need to show more cleavage,,14371,,,,Zoya Shepko,,,,,"February 1, 2013 9:54 PM"
February 2013,11,Neutral,so...,,14369,,,,Zoya Shepko,,,,,"February 1, 2013 9:54 PM"
